Address,Price,LivingArea,Rooms,LotArea,Type
Adriaan van Bergenstraat 47,250000,71,4,92,Row
Jan van Zutphenlaan 56,209500,98,5,123,Row
Prinses irenelaan 126,349500,128,6,114,Row
Hubert Duyfhuysstraat 36,250000,86,4,98,Row
Prinses ireneplateau 125,419000,173,6,99,Row
Balderikstraat 69,225000,83,4,67,Row
Vechtoever 59,549500,165,6,110,Row
Cornelis Dirkszstraat 27,240000,71,4,78,Row
C van maasdijkstraat 13,340000,116,6,115,Row
Fultonstraat 8,349500,100,4,169,Row
Herman modedtraat 32,200000,62,3,66,Row
Jodocus van Lodensteinstraat 37,249000,105,4,71,Row
Adelboldstraat 52,247500,83,5,72,Row
Hanrathstraat 1,219000,84,4,85,Row
Sweder van zuilenweg 61,269000,100,4,90,Row
Amsterdamsestraatweg 913,549000,185,6,405,Row
Amsterdamsestraatweg 983,310000,124,5,253,Row
ter laanstraat 9,325000,135,5,44,Row
marie curielaan 77,242500,77,4,143,Corner
jan van zutphenlaan 47,375000,155,5,161,Row
Koppestokstraat 79,245000,81,4,79,Row
c smeenkstraat 55,207000,64,5,95,Row
Wibautstraat 35,375000,155,6,67,Row
burgemeester norbriuslaan 546,359500,168,6,57,Row
Amperestraat 57,215000,100,4,86,Row
Hubert Duyfhuysstraat 26,150000,44,2,84,Row
Balderikstraat 25,229000,82,4,67,Row
jan van zutphenlaan 38,225000,94,4,153,Corner
Keucheniusstraat 20,198500,65,2,85,Detached
prinses irenelaan 97,319000,105,5,118,Row
jan van zutphenlaan 19,375000,177,5,66,Row
Bessemerlaan 19,365000,100,3,264,Corner
Grootmeesterplein 3,259000,115,4,101,Detached
cornelis dirkszstraat 38,240000,73,4,107,Corner
Daalseweg 195,435000,116,4,155,Row
johannes uiteboogaardstraat 33,250000,105,6,94,Row
m van meelstraat 45,300000,95,5,82,Row
Prinses irenelaan 93,325000,105,5,118,Row
jan van zutphenlaan 51,367500,165,4,169,Row
werner helmichstraat 8,239000,63,3,85,Row
Herman modedtraat 29,265000,79,4,90,Row
prof kohnstamstraat 32,300000,115,3,80,Row
